course_id,course_name,weekly_periods,teacher_id,lab_required,department
"MATH09_A","Mathematics",7,"T_AMIT_SHARMA",false,"Mathematics"
"SCI09_A","Science",6,"T_RAJESH_KUMAR",true,"Science"
"BIO09_A","Hindi Course A",5,"T_PRIYA_SINGH",false,"Hindi"
"ENG09_A","English Language & Literature",6,"T_ANJALI_GUPTA",false,"English"
"SOC09_A","Social Science",6,"T_SURESH_VERMA",false,"Social Science"
"CS09_A","Information Technology",4,"T_POOJA_MEHTA",true,"Technology"
"PE09_A","Physical Education",2,"T_VIKRAM_YADAV",false,"Athletics"
"ART09_A","Art Education",2,"T_KAVITA_JOSHI",false,"Fine Arts"
"LIB09_A","Library & Reading",2,"T_SANDEEP_PATEL",false,"Resource"
"MATH09_B","Mathematics",7,"T_AMIT_SHARMA",false,"Mathematics"
"SCI09_B","Science",6,"T_RAJESH_KUMAR",true,"Science"
"BIO09_B","Hindi Course A",5,"T_PRIYA_SINGH",false,"Hindi"
"ENG09_B","English Language & Literature",6,"T_ANJALI_GUPTA",false,"English"
"SOC09_B","Social Science",6,"T_SURESH_VERMA",false,"Social Science"
"CS09_B","Information Technology",4,"T_POOJA_MEHTA",true,"Technology"
"PE09_B","Physical Education",2,"T_VIKRAM_YADAV",false,"Athletics"
"ART09_B","Art Education",2,"T_KAVITA_JOSHI",false,"Fine Arts"
"LIB09_B","Library & Reading",2,"T_SANDEEP_PATEL",false,"Resource"
"MATH10_A","Mathematics",7,"T_AMIT_SHARMA",false,"Mathematics"
"SCI10_A","Science",6,"T_RAJESH_KUMAR",true,"Science"
"BIO10_A","Hindi Course A",5,"T_PRIYA_SINGH",false,"Hindi"
"ENG10_A","English Language & Literature",6,"T_ANJALI_GUPTA",false,"English"
"SOC10_A","Social Science",6,"T_SURESH_VERMA",false,"Social Science"
"CS10_A","Information Technology",4,"T_POOJA_MEHTA",true,"Technology"
"PE10_A","Physical Education",2,"T_VIKRAM_YADAV",false,"Athletics"
"ART10_A","Art Education",2,"T_KAVITA_JOSHI",false,"Fine Arts"
"LIB10_A","Library & Reading",2,"T_SANDEEP_PATEL",false,"Resource"
